epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1915.25,1.83287,4.24543,0.00402,0.7069,0.52548,0.43512,0.14036,2.85498,175.637,0.00562,0.00069682,0.00069682,0.00069682
58,1948.28,1.81725,4.09656,0.00397,0.63675,0.48079,0.34568,0.11014,3.43964,37.2177,0.00632,0.000687222,0.000687222,0.000687222
59,1981.29,1.81793,4.1649,0.00402,0.69083,0.54967,0.47242,0.1438,2.79316,28.0997,0.0054,0.000677543,0.000677543,0.000677543
60,2014.38,1.81273,4.17135,0.00398,0.67125,0.50572,0.45747,0.15534,2.57126,37.0079,0.00511,0.000667789,0.000667789,0.000667789
61,2047.48,1.80557,4.07809,0.00394,0.71479,0.57252,0.46526,0.15106,2.45765,19.1883,0.00474,0.000657963,0.000657963,0.000657963
62,2080.6,1.81601,4.15268,0.00398,0.71906,0.53543,0.47949,0.17018,2.71346,66.6154,0.00521,0.000648071,0.000648071,0.000648071
63,2113.66,1.80658,4.18585,0.00398,0.64342,0.521,0.4177,0.1471,2.98072,37.0813,0.00541,0.000638115,0.000638115,0.000638115
64,2146.77,1.80508,4.07081,0.00396,0.72898,0.51126,0.48127,0.16882,2.69164,81.7284,0.00526,0.000628101,0.000628101,0.000628101
65,2179.73,1.8223,4.09198,0.00398,0.61198,0.44305,0.34757,0.11218,2.70543,36.3021,0.00518,0.000618034,0.000618034,0.000618034
66,2213.33,1.8003,4.10438,0.00393,0.68655,0.49246,0.44788,0.14874,2.67128,70.3357,0.00502,0.000607916,0.000607916,0.000607916
67,2247.3,1.79574,4.07222,0.0039,0.68952,0.52881,0.49395,0.17086,2.67442,25.2922,0.00505,0.000597754,0.000597754,0.000597754
68,2280.36,1.77758,4.00879,0.00388,0.62911,0.50132,0.41857,0.15069,2.99008,49.2573,0.00544,0.000587551,0.000587551,0.000587551
69,2313.71,1.77828,3.97844,0.00386,0.55732,0.4894,0.33997,0.10137,3.47315,36.146,0.00634,0.000577311,0.000577311,0.000577311
70,2346.83,1.76779,4.04746,0.00388,0.63373,0.55033,0.37909,0.12567,2.52788,19.0088,0.00482,0.00056704,0.00056704,0.00056704
71,2379.82,1.77648,4.05237,0.00387,0.64907,0.54768,0.39872,0.12791,2.57232,17.3083,0.00496,0.000556742,0.000556742,0.000556742
72,2412.94,1.75636,3.93087,0.0038,0.67046,0.56689,0.42875,0.14409,2.55519,18.2261,0.00502,0.000546421,0.000546421,0.000546421
73,2446.29,1.75687,4.00837,0.00388,0.6502,0.54778,0.42037,0.14891,2.54062,28.3726,0.00496,0.000536081,0.000536081,0.000536081
74,2479.29,1.75407,3.96256,0.0038,0.60997,0.52649,0.37016,0.12235,2.69938,29.2362,0.00522,0.000525728,0.000525728,0.000525728
75,2512.15,1.75372,3.9465,0.00383,0.56894,0.48411,0.31895,0.10473,2.69961,22.9841,0.00514,0.000515366,0.000515366,0.000515366
76,2545.07,1.73167,3.84402,0.00374,0.66285,0.56376,0.4013,0.13353,2.53501,26.422,0.00491,0.000505,0.000505,0.000505
77,2578.38,1.74737,3.90235,0.00376,0.64744,0.54788,0.39073,0.1265,2.54842,18.3739,0.00493,0.000494634,0.000494634,0.000494634
78,2611.77,1.73316,3.89571,0.00374,0.64243,0.53179,0.37867,0.12402,2.49307,21.6774,0.00479,0.000484272,0.000484272,0.000484272
79,2644.72,1.73507,3.9378,0.00375,0.59058,0.49834,0.34815,0.11634,2.55425,20.8552,0.00488,0.000473919,0.000473919,0.000473919
80,2677.68,1.73496,3.9143,0.00381,0.60741,0.5149,0.35981,0.11539,2.5421,21.1405,0.00497,0.000463579,0.000463579,0.000463579
81,2710.57,1.73473,3.84393,0.00374,0.57878,0.49106,0.33797,0.10461,2.63475,18.4382,0.00507,0.000453258,0.000453258,0.000453258
82,2743.52,1.71638,3.86242,0.00372,0.61637,0.52384,0.36457,0.11412,2.59034,31.7866,0.005,0.00044296,0.00044296,0.00044296
83,2776.45,1.71414,3.83843,0.0037,0.62604,0.52108,0.38311,0.1226,2.59673,24.738,0.00503,0.000432689,0.000432689,0.000432689
84,2809.49,1.7183,3.87164,0.00369,0.64516,0.53974,0.40354,0.13525,2.56785,30.4304,0.00505,0.000422449,0.000422449,0.000422449
85,2842.31,1.71324,3.80613,0.00371,0.63682,0.53775,0.40128,0.13529,2.57707,29.6274,0.00508,0.000412246,0.000412246,0.000412246
86,2875.16,1.70394,3.77936,0.00368,0.63492,0.54503,0.40522,0.13433,2.52185,40.7411,0.00497,0.000402084,0.000402084,0.000402084
87,2908.08,1.6939,3.78854,0.00362,0.6335,0.53775,0.39578,0.13126,2.51259,32.5945,0.00488,0.000391966,0.000391966,0.000391966
88,2941.6,1.7016,3.79333,0.00368,0.63726,0.53907,0.39305,0.12862,2.48424,22.3851,0.00489,0.000381899,0.000381899,0.000381899
89,2975.09,1.69909,3.77114,0.00365,0.63512,0.5314,0.38813,0.12588,2.47707,16.5509,0.00489,0.000371885,0.000371885,0.000371885
